measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.6530513424800867,1.0551434779180602,0.3480820935316084
Deaths,South Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.5981466044275697,0.949646743831875,0.32497408219983953
Deaths,High-income North America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,80.02950026243039,87.89602231973019,72.88232969784664
Deaths,High-income North America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.028438820000095292,0.031234221746710346,0.025899042836303662
Deaths,High-income North America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.024295614240101793,0.026615012452658498,0.022260110371470777
Deaths,Caribbean,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,6.27303330574695,11.430725844177815,2.9330648242555704
Deaths,Caribbean,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.017774397540769506,0.03238852010363619,0.008310725873462908
Deaths,Caribbean,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.017940003265396902,0.03233504401874123,0.008605641499548393
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,8795.667177985699,14362.045083613495,4878.191030653031
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,4.6092871219554326,7.526295403096788,2.556370385671736
Deaths,Eastern Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,3.8178383155998734,5.997398659986465,2.1459318278070842
Deaths,Western Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,21165.31013116955,34431.66571305475,12013.999618845839
Deaths,Western Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,10.957467987747288,17.825577441456804,6.219753710787559
Deaths,Western Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,8.643657238943689,13.465212601188156,4.887136304500007
Deaths,Low-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,13588.511058661077,20692.19919831384,7821.973904496431
Deaths,Low-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,1.1700009046739983,1.7816441902434033,0.6734892811353366
Deaths,Low-middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,1.0532819638145368,1.6037693800833928,0.6001163287640187
Deaths,High-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,578.5960904035996,915.7668960461241,345.15751389178865
Deaths,High-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.054403252155760265,0.08610617698218931,0.03245388548790905
Deaths,High-middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.05742671502555462,0.08988189812503067,0.034981853017468374
Deaths,High SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,507.5062990455657,622.3266837943388,421.00564248817676
Deaths,High SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.05770174768530202,0.07075643662682421,0.04786691594296872
Deaths,High SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.05393094542450485,0.06750407671236966,0.04408501957309745
Deaths,Western Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,215.96700006695545,239.65356049002366,193.09421132050633
Deaths,Western Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.055973330797918566,0.06211230425967089,0.050045266925294624
Deaths,Western Europe,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.03922434989692551,0.04335251102603631,0.035349604766512686
Deaths,Middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,4827.9096692329895,7224.749738880675,2859.9929685840902
Deaths,Middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.2802188379601938,0.41933489130586654,0.16599811536206346
Deaths,Middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,0.2947819577186798,0.42831091083372175,0.17964484844348877
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,16.87382654450688,28.25722752560022,9.163520715568698
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.25170931270173497,0.4215171526485101,0.13669356474419755
Deaths,Oceania,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.26630429835094993,0.43009675634432704,0.14539969392679825
Deaths,Southern Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,0.8647722726606162,1.0200609923887916,0.7423273318490583
Deaths,Southern Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.0017237443312638368,0.002033280215800358,0.001479675714255008
Deaths,Southern Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.0017325306828473734,0.002047271625524545,0.0014875812849336706
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,236.47365483657654,261.0415622202616,215.25762771030236
Deaths,Central Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.14075252997095586,0.15537570278373952,0.1281244446308818
Deaths,Central Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.19511078428917594,0.21348365016224308,0.17943601347476645
Deaths,Andean Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,21.068284916711622,34.434516551565906,11.373361869020506
Deaths,Andean Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.05428416897313815,0.08872336416481715,0.029304402324691954
Deaths,Andean Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.055986705056761586,0.0929890951604569,0.02917839237991057
Deaths,Southeast Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,1875.8115682221364,2911.973037925406,1047.4961041133884
Deaths,Southeast Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.3960556800090329,0.614829059187751,0.22116655470604896
Deaths,Southeast Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.4243493663794089,0.646110059111886,0.23959475779964087
Deaths,Tropical Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,85.77058379069624,122.17421942168727,60.08359295383457
Deaths,Tropical Latin America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.05532396226247634,0.07880512882163827,0.03875527345463289
Deaths,Tropical Latin America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.06380317759174381,0.08687141634721376,0.04559650682868431
Deaths,Central Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,54.37039037845804,62.82180329323759,46.63454764293745
Deaths,Central Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.04345181934472343,0.050206033626145286,0.03726947563368375
Deaths,Central Europe,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.04739112157223436,0.05467395218324518,0.040901144003897
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,948.8675577505475,1487.6931795302323,525.6430215957514
Deaths,North Africa and Middle East,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.2731266553307957,0.4282248444101096,0.1513036452914156
Deaths,North Africa and Middle East,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.2691042166138297,0.4144617193274864,0.14944004244142717
Deaths,East Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,902.4239389717701,1526.1795082791255,485.99022447770994
