measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,1,Male,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.5524312365696495,5.683750130222359,2.1123596787872994
1,Deaths,44635,High SDI,2,Female,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.5425304647711564,4.32877599013442,1.3512382810640835
1,Deaths,44635,High SDI,3,Both,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,6.094961701340811,10.051820630702002,3.4606551449393197
1,Deaths,44635,High SDI,1,Male,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.009128555244859997,0.014605329028639112,0.005428054968755629
1,Deaths,44635,High SDI,2,Female,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.006925695414964499,0.011791317525070743,0.0036806893358236896
1,Deaths,44635,High SDI,3,Both,13,40-44 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008059224803976719,0.013291286495575106,0.00457594307376356
1,Deaths,44635,High SDI,1,Male,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.61330040341865,5.542113107551911,2.2491907045209403
1,Deaths,44635,High SDI,2,Female,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,2.9247433384309978,4.611004146255455,1.6776244472716166
1,Deaths,44635,High SDI,3,Both,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,6.538043741849652,10.07825774639177,3.934458698924297
1,Deaths,44635,High SDI,1,Male,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.009645969572767612,0.014795076089910231,0.006004379010013631
